currency,T,m,p,k_maic,n_valid_cbar7,n_valid_cbar_star,mzt_cbar7,cv_asym,cv_fs_at_cbar7,cv_fs_at_cbar7_se,pval_fs_at_cbar7,cbar_star,mzt_cbar_star,cv_fs_at_cbar_star,cv_fs_at_cbar_star_se,pval_fs_at_cbar_star
AUD,52,1,1,0,50000,50000,-0.3774963548888935,-1.98,-1.9603560959793906,0.006457345844007232,0.77268,-10.58,-0.9708761950449293,-2.082756998230491,0.006424809558865612,0.57646
CAD,52,1,2,1,50000,50000,-1.8881508005061571,-1.98,-1.9889625753000484,0.008661580590733946,0.06252,-11.1,-2.0764152781248444,-2.0922756165634633,0.006869120469988422,0.05196
CHF,52,1,1,2,50000,50000,2.269216922916381,-1.98,-2.024276768059378,0.005677762693423082,0.99908,-10.58,1.676570272353568,-2.1598992615675243,0.00568163626284703,0.99866
GBP,52,2,1,0,50000,50000,-0.3262475286279244,-1.98,-1.9787332792786463,0.0061249814087614525,0.8877,-10.58,-0.7766160923433642,-2.1150363175963527,0.007191386619789158,0.79228
JPY,52,1,1,3,50000,50000,0.17042181848847313,-1.98,-2.0716280369106976,0.005797977927892457,0.91466,-10.58,-0.22068546699839792,-2.211525301088381,0.006501824587647797,0.88358
NOK,52,2,2,0,50000,50000,-0.7701489507806103,-1.98,-2.0035366573214186,0.006987943982831468,0.7469,-11.1,-0.9932007545116263,-2.160599707406957,0.005961180047945742,0.7302
NZD,52,1,1,0,50000,50000,-0.32747974072251085,-1.98,-1.922234490431111,0.006534800372193267,0.75976,-10.58,-0.8229814200253065,-2.046795411932029,0.007067689281539123,0.6291
SEK,52,2,2,0,50000,50000,-0.9453971947128876,-1.98,-1.9442225483480964,0.007699382832486027,0.60064,-11.1,-1.4406479919794881,-2.101128894506251,0.0061688873926705,0.38116
