currency,m,T,kmax,k_bic_sq,k_gs_sq,k_bic_cq,k_gs_cq,alpha_sq,alpha_cq,hl_sq,hl_cq
AUD,1,52,10,2,2,1,1,0.8940581305404784,0.6653686346917873,6.1896716609432785,1.7013335050657132
CAD,1,52,10,2,2,2,2,0.8709003294799346,0.8726393342329752,5.014530192958357,5.08795574009832
CHF,1,52,10,1,9,1,1,0.9523708580205031,0.8913946437326434,14.20361350171904,6.029043002272025
GBP,2,52,10,2,8,1,8,0.8313720570059482,0.7544011725578121,3.7532770411374883,2.4594427045309266
JPY,1,52,10,2,9,1,1,0.9558058268037701,0.8005778319718098,15.334946133898674,3.1163674004769484
NOK,2,52,10,2,2,2,2,0.8966804639924604,0.7975986182747283,6.3559000662344936,3.0649914479963116
NZD,1,52,10,2,9,1,1,0.8899840611172629,0.7668235425612191,5.947120722018045,2.610737945511171
SEK,2,52,10,2,2,2,2,0.8915477790474217,0.6888778342827001,6.038064709248793,1.8598425030539638
