config_key,T,m,sigma2_method,cbar_otimo,poder_no_otimo,se_poder,se_cbar,fallback_used,refined,inv_dev,cfg_seed,lambda1,lambda2,lambda3,lambda4,lambda5,mza_cv1,mza_cv1_se,mza_cv2_5,mza_cv2_5_se,mza_cv5,mza_cv5_se,mza_cv10,mza_cv10_se,msb_cv1,msb_cv1_se,msb_cv2_5,msb_cv2_5_se,msb_cv5,msb_cv5_se,msb_cv10,msb_cv10_se,mzt_cv1,mzt_cv1_se,mzt_cv2_5,mzt_cv2_5_se,mzt_cv5,mzt_cv5_se,mzt_cv10,mzt_cv10_se,pt_cv1,pt_cv1_se,pt_cv2_5,pt_cv2_5_se,pt_cv5,pt_cv5_se,pt_cv10,pt_cv10_se,mpt_cv1,mpt_cv1_se,mpt_cv2_5,mpt_cv2_5_se,mpt_cv5,mpt_cv5_se,mpt_cv10,mpt_cv10_se
T30_m2_lambdas_0.15_0.617,30,2,const,-10.85433071,0.5,0.007069184,0.139194248,0,0,8.38E-11,51106752,0.15,0.617,,,,-22.07989899,0.370305796,-19.46475469,0.119510818,-17.50464306,0.133160508,-15.32301795,0.099740859,0.146723325,0.000947993,0.155993401,0.000678769,0.164545878,0.000513909,0.175338335,0.000642943,-3.271309394,0.026987163,-3.071041004,0.014121235,-2.903335991,0.010394186,-2.710579134,0.009601401,3.216911314,0.044577836,3.792588023,0.038753869,4.378685638,0.044993603,5.089754406,0.04181235,2.867892312,0.038845604,3.238388598,0.028943566,3.580610716,0.029398861,4.119421471,0.0277704
T30_m2_lambdas_0.15_0.733,30,2,const,-10.8255814,0.5,0.007068929,0.137036198,0,0,1.17E-10,51265556,0.15,0.733,,,,-21.98267169,0.350862256,-19.17306712,0.189315714,-17.17099497,0.152929812,-15.16705437,0.096028542,0.147644836,0.00095472,0.156534902,0.000668005,0.165853754,0.000765852,0.176422778,0.000540335,-3.251672912,0.020577058,-3.049265475,0.01409946,-2.879246783,0.008460968,-2.695684971,0.010610255,3.27769118,0.054417178,3.837117456,0.046208046,4.353366471,0.036271395,5.156687249,0.038432445,2.886417736,0.039847957,3.245295983,0.035798911,3.625207377,0.024318775,4.127503143,0.025784873
T30_m2_lambdas_0.15_0.85,30,2,const,-10.92857143,0.5,0.007069709,0.126269068,0,0,3.85E-10,51425729,0.15,0.85,,,,-21.29093676,0.187432194,-19.08712137,0.166055279,-17.14699361,0.134044875,-14.88162418,0.108636887,0.149304652,0.000787102,0.157058796,0.000651175,0.166036164,0.000561513,0.177671223,0.000571519,-3.22200178,0.01886779,-3.031063348,0.013880997,-2.866684527,0.010800065,-2.660519757,0.010751505,3.312921052,0.040061879,3.908739562,0.04187599,4.484117043,0.047675579,5.334057088,0.040128421,2.972149808,0.028801963,3.348428234,0.029124309,3.750841477,0.02514798,4.319444751,0.033100183
T30_m2_lambdas_0.267_0.5,30,2,const,-10.75806452,0.5,0.007068895,0.142561851,0,0,4.27E-11,50950908,0.267,0.5,,,,-21.85679331,0.215288025,-19.4840076,0.209732669,-17.65868704,0.119492987,-15.50493198,0.110595549,0.147694066,0.000952542,0.156463614,0.000609846,0.164837533,0.000592793,0.175229214,0.000559123,-3.246906255,0.018134964,-3.068276181,0.014383979,-2.908209495,0.011501598,-2.729986198,0.008723704,3.175419636,0.04878551,3.719855508,0.049843702,4.240388424,0.042015297,4.995904505,0.037186561,2.824439432,0.023922764,3.155880427,0.032312703,3.502195777,0.020601099,3.965190514,0.022536896
T30_m2_lambdas_0.267_0.617,30,2,const,-10.39285714,0.5,0.007069873,0.157836335,0,0,6.75E-11,51111081,0.267,0.617,,,,-21.31733947,0.196832936,-19.26078895,0.183946812,-17.21590918,0.117179189,-15.29880657,0.099134679,0.148965812,0.001008387,0.157325103,0.000788473,0.166181407,0.000611656,0.175926717,0.000484477,-3.230346021,0.014354498,-3.052702692,0.013487784,-2.881729536,0.007288146,-2.711977202,0.007768495,3.075266811,0.044116409,3.533993937,0.03033458,4.004986439,0.037417313,4.78673454,0.039027372,2.671894942,0.029251279,3.015951484,0.02963652,3.326674231,0.021185995,3.783798789,0.019898645
T30_m2_lambdas_0.267_0.733,30,2,const,-10.51315789,0.5,0.007070879,0.155067277,0,0,9.10E-11,51269885,0.267,0.733,,,,-21.57034589,0.261791515,-19.27264903,0.169466919,-17.38980496,0.127629558,-15.23907992,0.095490851,0.148359432,0.000761075,0.156510244,0.00060856,0.165072215,0.000607039,0.175937015,0.000481896,-3.233762997,0.018639473,-3.053643597,0.014360575,-2.879752394,0.012243506,-2.709109058,0.008344435,3.131018163,0.050031693,3.665834885,0.037180002,4.157917794,0.038766658,4.8615839,0.032943497,2.730113999,0.026060855,3.047133242,0.027566168,3.419751577,0.023366852,3.859239678,0.018950411
T30_m2_lambdas_0.267_0.85,30,2,const,-10.44890511,0.5,0.007070093,0.129034084,0,0,2.45E-10,51430058,0.267,0.85,,,,-21.10562957,0.336375731,-18.95150133,0.131690265,-17.07627272,0.125541345,-15.00253609,0.103002606,0.148982087,0.000867771,0.158309139,0.000621724,0.166274417,0.00061645,0.1774898,0.000429052,-3.209575484,0.020405145,-3.021276183,0.013838432,-2.866552556,0.011111148,-2.677399083,0.008056558,3.091945563,0.045759867,3.549769175,0.038418935,4.098871471,0.052526103,4.836119525,0.033373592,2.729958746,0.033745312,3.082302568,0.024915589,3.421780398,0.024296362,3.891891733,0.023542568
T30_m2_lambdas_0.383_0.617,30,2,const,-10.18656716,0.5,0.007068691,0.131922907,0,0,8.10E-11,51115373,0.383,0.617,,,,-21.30241589,0.212740932,-19.04343908,0.200114487,-17.01365214,0.138220904,-15.05290702,0.089176263,0.150603104,0.001140004,0.158935789,0.000662637,0.167119296,0.000598256,0.176966282,0.00048201,-3.222901596,0.020490256,-3.040623871,0.014325762,-2.873135505,0.011081864,-2.690612745,0.008734184,2.92929413,0.047336037,3.431057221,0.034209072,3.950425386,0.039517971,4.674593007,0.038172417,2.57068985,0.024189559,2.892627198,0.020788307,3.233086259,0.020823165,3.681047677,0.024200161
T30_m2_lambdas_0.383_0.733,30,2,const,-10.20895522,0.5,0.007068596,0.131922907,0,0,6.29E-11,51274177,0.383,0.733,,,,-21.90098775,0.256373902,-19.36181633,0.19223567,-17.03354816,0.122733889,-15.03934638,0.090090012,0.14716199,0.000983493,0.157096003,0.000708096,0.165994858,0.000558433,0.176533453,0.000545216,-3.263121383,0.024248793,-3.064830187,0.015923849,-2.872412585,0.012036901,-2.684072696,0.008073312,2.8535163,0.04661208,3.414595952,0.041121432,3.945718118,0.046395385,4.664702419,0.032885444,2.535691849,0.037052896,2.880988868,0.027320093,3.25198726,0.024538441,3.704565505,0.021145848
T30_m2_lambdas_0.383_0.85,30,2,const,-9.659836066,0.5,0.007069236,0.144898931,0,0,1.08E-10,51434350,0.383,0.85,,,,-21.08581511,0.226835317,-18.70635949,0.144393257,-16.57559135,0.124937049,-14.36920734,0.093669277,0.14964543,0.00076852,0.159554132,0.000702769,0.169124791,0.000582887,0.180272943,0.000559502,-3.210147251,0.015011616,-3.008395944,0.017124898,-2.823713209,0.013308152,-2.630745602,0.007865091,2.640121345,0.038660619,3.14556506,0.033223019,3.634546811,0.028116769,4.318517328,0.033163141,2.366618365,0.025515335,2.674704022,0.027903719,3.026304778,0.025862196,3.458488131,0.018457453
