currency,iso3,year,xr,iso2,cpi,cpi_us,s_it,p_i,p_us,q,ln_xr
AUD,AUS,2011,0.969524,AU,103.30384784681,103.156841568622,0.030950049577466023,4.637674624674935,4.636250563722241,0.02952598862477185,-0.030950049577466023
AUD,AUS,2012,0.965948,AU,105.124870505209,105.291504532867,0.034645276446261,4.655148886475079,4.65673273718501,0.036229127156191865,-0.034645276446261
AUD,AUS,2013,1.036882,AU,107.700306290987,106.833848874866,-0.03621813299463601,4.679352428085755,4.671274813342744,-0.044295747737646884,0.03621813299463601
AUD,AUS,2014,1.109239,AU,110.379813789798,108.566932118964,-0.1036741946173897,4.703927271017705,4.687366868673699,-0.12023459696139582,0.1036741946173897
AUD,AUS,2015,1.332359,AU,112.044747614105,108.695721960694,-0.286951055323856,4.718898323772125,4.688552436965321,-0.3172969421306595,0.286951055323856
AUD,AUS,2016,1.344874,AU,113.475551934366,110.06700893427,-0.29630032836813147,4.731587412259901,4.7010893524521205,-0.326798388175912,0.29630032836813147
AUD,AUS,2017,1.304983,AU,115.686785436719,112.411557302308,-0.2661900138698836,4.750886413646626,4.722166755147941,-0.29490967236856847,0.2661900138698836
AUD,AUS,2018,1.339015,AU,117.898022686164,115.157303224791,-0.29193426903613234,4.769820036292969,4.746299047831631,-0.3154552574974705,0.29193426903613234
AUD,AUS,2019,1.439273,AU,119.797089761608,117.244195476228,-0.3641381249915174,4.785799392912225,4.764258900567713,-0.3856786173360298,0.3641381249915174
AUD,AUS,2020,1.451936,AU,120.811652194838,118.690501577198,-0.3728978382961926,4.794232739415426,4.776519278002681,-0.3906112997089375,0.3728978382961926
AUD,AUS,2021,1.332437,AU,124.271592622831,124.266413825838,-0.2870095963904309,4.822469433562859,4.822427759477936,-0.28705127047535406,0.2870095963904309
AUD,AUS,2022,1.442807,AU,132.466181470806,134.21120616846,-0.3665905217127716,4.886327378665893,4.899414724542119,-0.3535031758365452,0.3665905217127716
